Adress,Datum,Slutpris,Utgångspris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift/månad,Driftskostnad/år,Hiss,Områdeskod
"Fridhemsgatan 10B, 1tr (våning 2) mot gård",16 september 2022,3200000,0,Lägenhet,Bostadsrätt,1.0,36.0,Nej,2.0,1927,2266.0,,Ja,1
"Döbelnsgatan 52, 4 tr",16 september 2022,3350000,2995000,Lägenhet,Bostadsrätt,1.0,32.1,Nej,4.0,1963,1365.0,4320.0,Ja,0
Gyllenborgsgatan 9,16 september 2022,2650000,2495000,Lägenhet,Bostadsrätt,1.0,24.5,,2.0,1927,1366.0,,Nej,5
Pontonjärgatan 4,19 september 2022,2965000,2795000,Lägenhet,Bostadsrätt,1.0,27.0,Nej,,0,1873.0,,,8
Sankt Eriksgatan 61 A,19 september 2022,3270000,2995000,Lägenhet,Bostadsrätt,1.0,32.0,,,1905,789.0,5820.0,,1
Norrbackagatan 25C,20 september 2022,2600000,2695000,Lägenhet,Bostadsrätt,1.0,28.0,Nej,1.0,1930,1561.0,4000.0,Ja,6
"Drejargatan 4, 4tr",20 september 2022,3950000,3700000,Lägenhet,Bostadsrätt,1.0,38.0,Nej,4.0,1928,1836.0,4320.0,Ja,6
Linnégatan 17A,20 september 2022,3400000,3495000,Lägenhet,Bostadsrätt,1.0,29.5,,1.0,1939,1544.0,6100.0,Ja,9
"Fridhemsgatan 10B, 3tr",20 september 2022,3445000,3395000,Lägenhet,Bostadsrätt,1.0,36.0,Ja,3.0,1927,2311.0,5160.0,Ja,1
"Kristinebergsvägen 5, 4 tr",20 september 2022,3000000,2995000,Lägenhet,Bostadsrätt,1.0,34.0,Nej,4.0,1926,1986.0,6544.0,Nej,5
"Gävlegatan 9, 3 tr",21 september 2022,3700000,3845000,Lägenhet,Bostadsrätt,1.0,38.0,Nej,3.0,1926,1452.0,,Nej,6
Olofsgatan 18,21 september 2022,3225000,3250000,Lägenhet,Bostadsrätt,1.0,32.0,,2.0,1927,917.0,24500.0,Ja,0
"Grevgatan 23B, 2 tr",21 september 2022,3600000,3695000,Lägenhet,Bostadsrätt,1.0,25.0,Ja,2.0,1882,1484.0,4000.0,Nej,3
"Gästrikegatan 3, 2 tr ö.g.",22 september 2022,3265000,2995000,Lägenhet,Bostadsrätt,1.0,27.0,Ja,2.0,1911,1604.0,,Ja,6
"Dalagatan 86G, 4tr",23 september 2022,3200000,3395000,Lägenhet,Bostadsrätt,1.0,34.0,,4.0,1919,2074.0,,Ja,7
Kammakargatan 70- uteplats,25 september 2022,2920000,2750000,Lägenhet,Bostadsrätt,1.0,29.0,Nej,2.0,1946,1512.0,5080.0,Ja,4
Arbetargatan 28C,26 september 2022,2800000,2895000,Lägenhet,Bostadsrätt,1.0,31.0,Nej,5.0,1969,1156.0,5496.0,Ja,1
"Kungsklippan 20, vån 7",27 september 2022,2700000,2795000,Lägenhet,Bostadsrätt,1.0,27.0,Ja,7.0,1934,2391.0,,Ja,8
Styrmansgatan 16a,27 september 2022,3700000,3700000,Lägenhet,Bostadsrätt,1.0,26.0,Ja,2.0,1930,1888.0,5500.0,Ja,3
